BookingID,CourtType,OrderDate,OrderTime,StartTime,EndTime,Status,CustomerID,SportCenterID,RID
BKG00001,Bóng rổ,2024-03-24,17:43:07,2024-03-25 19:43:07,2024-03-25 21:43:07,Confirmed,CUS00496,CEN002,EMP0011
BKG00002,Cầu lông,2024-02-21,04:56:45,2024-02-28 14:56:45,2024-02-28 16:56:45,Cancelled,CUS00783,CEN001,EMP0059
BKG00003,Tennis,2024-09-27,02:05:26,2024-10-06 10:05:26,2024-10-06 13:05:26,Cancelled,CUS00487,CEN005,EMP0054
BKG00004,Tennis,2024-04-02,03:09:25,2024-04-12 06:09:25,2024-04-12 09:09:25,Cancelled,CUS00586,CEN003,EMP0026
BKG00005,Bóng đá,2024-08-22,00:48:21,2024-08-23 10:48:21,2024-08-23 12:48:21,Confirmed,CUS00317,CEN002,EMP0004
BKG00006,Tennis,2024-03-11,13:27:51,2024-03-14 14:27:51,2024-03-14 15:27:51,Pending,CUS00163,CEN001,EMP0076
BKG00007,Bóng đá,2024-05-16,16:37:28,2024-05-16 21:37:28,2024-05-16 23:37:28,Confirmed,CUS00279,CEN003,EMP0073
BKG00008,Bóng rổ,2024-11-06,12:15:40,2024-11-10 19:15:40,2024-11-10 20:15:40,Cancelled,CUS00052,CEN001,EMP0018
BKG00009,Bóng rổ,2024-08-05,23:20:41,2024-08-13 05:20:41,2024-08-13 07:20:41,Confirmed,CUS00558,CEN004,EMP0064
BKG00010,Bóng rổ,2024-04-25,15:10:26,2024-05-04 22:10:26,2024-05-05 01:10:26,Confirmed,CUS00317,CEN001,EMP0054
BKG00011,Cầu lông,2024-05-29,18:34:58,2024-06-04 00:34:58,2024-06-04 03:34:58,Pending,CUS00264,CEN003,EMP0005
BKG00012,Bóng đá,2024-06-06,22:46:30,2024-06-10 03:46:30,2024-06-10 05:46:30,Cancelled,CUS00226,CEN004,EMP0026
BKG00013,Bóng đá,2024-08-16,16:36:13,2024-08-22 20:36:13,2024-08-22 23:36:13,Confirmed,CUS00632,CEN002,EMP0060
BKG00014,Bóng rổ,2024-01-31,17:03:43,2024-02-02 03:03:43,2024-02-02 06:03:43,Cancelled,CUS00367,CEN002,EMP0073
BKG00015,Bóng rổ,2024-03-27,12:05:19,2024-04-01 15:05:19,2024-04-01 16:05:19,Cancelled,CUS00380,CEN005,EMP0060
BKG00016,Bóng đá,2024-03-10,14:41:46,2024-03-15 19:41:46,2024-03-15 20:41:46,Pending,CUS00542,CEN002,EMP0060
BKG00017,Bóng rổ,2024-09-18,22:03:38,2024-09-22 04:03:38,2024-09-22 06:03:38,Pending,CUS00081,CEN003,EMP0079
BKG00018,Tennis,2024-12-21,19:16:40,2024-12-30 04:16:40,2024-12-30 07:16:40,Cancelled,CUS00782,CEN003,EMP0079
BKG00019,Bóng rổ,2024-05-15,09:56:30,2024-05-19 15:56:30,2024-05-19 18:56:30,Confirmed,CUS00254,CEN003,EMP0043
BKG00020,Tennis,2024-12-05,16:24:45,2024-12-09 19:24:45,2024-12-09 21:24:45,Cancelled,CUS00264,CEN001,EMP0102
BKG00021,Tennis,2024-08-25,16:07:46,2024-08-26 22:07:46,2024-08-27 01:07:46,Cancelled,CUS00604,CEN002,EMP0097
BKG00022,Cầu lông,2024-11-19,19:25:28,2024-11-23 23:25:28,2024-11-24 02:25:28,Confirmed,CUS00292,CEN002,EMP0074
BKG00023,Tennis,2024-12-06,14:55:00,2024-12-12 18:55:00,2024-12-12 19:55:00,Cancelled,CUS00778,CEN005,EMP0022
BKG00024,Cầu lông,2024-03-28,04:45:35,2024-03-28 13:45:35,2024-03-28 15:45:35,Cancelled,CUS00431,CEN002,EMP0078
BKG00025,Bóng rổ,2024-10-07,23:56:16,2024-10-11 08:56:16,2024-10-11 11:56:16,Cancelled,CUS00658,CEN005,EMP0075
BKG00026,Tennis,2024-02-08,17:49:15,2024-02-11 19:49:15,2024-02-11 20:49:15,Pending,CUS00779,CEN005,EMP0058
BKG00027,Cầu lông,2024-01-24,18:27:43,2024-01-26 19:27:43,2024-01-26 21:27:43,Pending,CUS00491,CEN003,EMP0039
BKG00028,Tennis,2024-03-15,20:14:49,2024-03-20 06:14:49,2024-03-20 09:14:49,Confirmed,CUS00380,CEN003,EMP0061
BKG00029,Cầu lông,2024-11-29,15:47:52,2024-12-01 15:47:52,2024-12-01 16:47:52,Pending,CUS00044,CEN003,EMP0036
BKG00030,Bóng rổ,2024-11-25,10:19:27,2024-11-29 16:19:27,2024-11-29 17:19:27,Pending,CUS00741,CEN005,EMP0029
BKG00031,Bóng đá,2024-11-15,14:32:52,2024-11-15 16:32:52,2024-11-15 19:32:52,Confirmed,CUS00110,CEN002,EMP0100
BKG00032,Bóng đá,2024-03-20,05:47:31,2024-03-27 10:47:31,2024-03-27 12:47:31,Confirmed,CUS00542,CEN005,EMP0051
BKG00033,Cầu lông,2024-05-08,10:58:31,2024-05-17 15:58:31,2024-05-17 18:58:31,Cancelled,CUS00483,CEN001,EMP0072
BKG00034,Bóng rổ,2024-11-09,01:59:49,2024-11-10 10:59:49,2024-11-10 13:59:49,Pending,CUS00071,CEN003,EMP0091
BKG00035,Tennis,2024-08-02,14:08:37,2024-08-06 17:08:37,2024-08-06 19:08:37,Cancelled,CUS00336,CEN004,EMP0050
BKG00036,Cầu lông,2024-02-02,20:55:16,2024-02-03 23:55:16,2024-02-04 02:55:16,Cancelled,CUS00380,CEN001,EMP0114
BKG00037,Cầu lông,2024-04-25,04:43:49,2024-04-27 07:43:49,2024-04-27 09:43:49,Pending,CUS00687,CEN002,EMP0005
BKG00038,Cầu lông,2024-03-16,16:37:32,2024-03-20 23:37:32,2024-03-21 01:37:32,Pending,CUS00272,CEN004,EMP0027
BKG00039,Bóng đá,2024-01-08,06:27:03,2024-01-12 09:27:03,2024-01-12 12:27:03,Confirmed,CUS00732,CEN005,EMP0054
BKG00040,Bóng rổ,2024-10-30,11:27:51,2024-11-07 11:27:51,2024-11-07 12:27:51,Cancelled,CUS00667,CEN003,EMP0091
BKG00041,Cầu lông,2024-08-09,00:13:05,2024-08-13 06:13:05,2024-08-13 09:13:05,Pending,CUS00157,CEN001,EMP0083
BKG00042,Bóng rổ,2024-06-19,03:53:34,2024-06-23 04:53:34,2024-06-23 06:53:34,Confirmed,CUS00193,CEN001,EMP0039
BKG00043,Cầu lông,2024-11-22,19:05:28,2024-11-27 19:05:28,2024-11-27 20:05:28,Pending,CUS00550,CEN003,EMP0007
BKG00044,Cầu lông,2024-03-03,21:49:42,2024-03-12 06:49:42,2024-03-12 08:49:42,Confirmed,CUS00401,CEN003,EMP0024
BKG00045,Bóng rổ,2024-10-18,21:28:47,2024-10-23 23:28:47,2024-10-24 00:28:47,Pending,CUS00137,CEN005,EMP0020
BKG00046,Cầu lông,2024-01-04,14:51:43,2024-01-06 14:51:43,2024-01-06 15:51:43,Confirmed,CUS00411,CEN005,EMP0014
BKG00047,Cầu lông,2024-03-20,09:15:00,2024-03-20 12:15:00,2024-03-20 13:15:00,Pending,CUS00203,CEN003,EMP0053
BKG00048,Bóng rổ,2024-06-20,06:10:05,2024-06-21 07:10:05,2024-06-21 10:10:05,Confirmed,CUS00468,CEN003,EMP0120
BKG00049,Bóng đá,2024-06-18,22:09:52,2024-06-25 00:09:52,2024-06-25 02:09:52,Cancelled,CUS00625,CEN003,EMP0097
BKG00050,Tennis,2024-04-06,17:59:56,2024-04-06 19:59:56,2024-04-06 21:59:56,Cancelled,CUS00380,CEN002,EMP0008
BKG00051,Bóng đá,2024-12-16,21:20:15,2024-12-19 00:20:15,2024-12-19 03:20:15,Cancelled,CUS00570,CEN003,EMP0105
BKG00052,Bóng rổ,2024-03-07,06:21:42,2024-03-10 06:21:42,2024-03-10 07:21:42,Confirmed,CUS00734,CEN002,EMP0006
BKG00053,Cầu lông,2024-07-28,18:52:39,2024-08-02 01:52:39,2024-08-02 02:52:39,Cancelled,CUS00760,CEN001,EMP0012
BKG00054,Bóng rổ,2024-10-05,17:26:33,2024-10-07 19:26:33,2024-10-07 22:26:33,Pending,CUS00300,CEN001,EMP0113
BKG00055,Tennis,2024-01-23,17:09:48,2024-01-30 23:09:48,2024-01-31 01:09:48,Cancelled,CUS00560,CEN004,EMP0094
BKG00056,Bóng đá,2024-11-18,23:58:41,2024-11-26 09:58:41,2024-11-26 12:58:41,Cancelled,CUS00508,CEN003,EMP0106
BKG00057,Tennis,2024-06-09,18:00:49,2024-06-11 03:00:49,2024-06-11 06:00:49,Pending,CUS00271,CEN001,EMP0050
