CancelFormID,CancelTime,PenaltyPrice,Status,CancelRuleID,BookingID
CNF0001,2024-07-06 06:36:12,418983,Pending,CRL014,BKG00877
CNF0002,2024-07-08 13:27:33,68800,Rejected,CRL003,BKG00327
CNF0003,2024-11-06 01:26:48,433893,Pending,CRL018,BKG00477
CNF0004,2024-04-26 06:32:38,307334,Pending,CRL009,BKG00421
CNF0005,2024-01-05 03:28:52,498430,Rejected,CRL019,BKG00310
CNF0006,2024-02-13 00:13:02,189991,Pending,CRL015,BKG00362
CNF0007,2024-10-16 10:54:15,190601,Rejected,CRL016,BKG01096
CNF0008,2024-03-27 05:38:13,102906,Approved,CRL015,BKG00575
CNF0009,2024-10-31 22:05:15,360771,Pending,CRL017,BKG01181
CNF0010,2024-02-09 17:06:52,89431,Rejected,CRL002,BKG00708
CNF0011,2024-08-18 07:14:26,306182,Approved,CRL010,BKG00953
CNF0012,2024-08-31 21:51:03,460459,Approved,CRL019,BKG01093
CNF0013,2024-11-30 05:03:03,282853,Pending,CRL003,BKG00362
CNF0014,2024-09-17 15:47:09,405908,Pending,CRL011,BKG00830
CNF0015,2024-11-05 18:08:44,67660,Pending,CRL018,BKG00443
CNF0016,2024-06-10 03:32:06,50350,Rejected,CRL001,BKG01146
CNF0017,2024-07-28 14:31:39,20081,Pending,CRL012,BKG01006
CNF0018,2024-11-15 22:23:45,345075,Pending,CRL003,BKG00827
CNF0019,2024-12-05 19:32:27,340227,Pending,CRL002,BKG00816
CNF0020,2024-10-05 22:45:37,126331,Approved,CRL002,BKG00464
CNF0021,2024-12-16 02:51:19,194857,Approved,CRL020,BKG00721
CNF0022,2024-12-09 16:46:55,462882,Rejected,CRL004,BKG00652
CNF0023,2024-02-17 20:46:14,205219,Approved,CRL013,BKG00158
CNF0024,2024-06-18 04:01:14,369770,Approved,CRL005,BKG01173
CNF0025,2024-06-06 14:58:37,459255,Approved,CRL018,BKG00813
CNF0026,2024-12-24 17:25:59,457950,Rejected,CRL007,BKG00791
CNF0027,2024-11-28 09:23:15,28495,Pending,CRL012,BKG00499
CNF0028,2024-11-30 15:51:49,196983,Rejected,CRL016,BKG00386
CNF0029,2024-12-25 16:08:50,75651,Pending,CRL020,BKG00304
CNF0030,2024-03-10 01:06:46,171036,Approved,CRL012,BKG00095
CNF0031,2024-11-08 15:49:01,288138,Pending,CRL013,BKG00550
CNF0032,2024-01-08 02:57:12,321143,Approved,CRL018,BKG00949
CNF0033,2024-11-14 05:10:49,107114,Rejected,CRL018,BKG01020
CNF0034,2024-12-19 22:31:17,50803,Rejected,CRL007,BKG00589
CNF0035,2024-12-12 10:21:38,61479,Pending,CRL002,BKG00010
CNF0036,2024-06-18 17:17:57,204215,Approved,CRL018,BKG00600
CNF0037,2024-07-19 02:42:12,150573,Pending,CRL019,BKG00474
CNF0038,2024-01-11 14:38:40,396606,Pending,CRL009,BKG00882
CNF0039,2024-01-25 01:40:24,118040,Rejected,CRL011,BKG00849
CNF0040,2024-01-01 12:13:38,371678,Rejected,CRL020,BKG01017
CNF0041,2024-12-10 16:53:01,20002,Approved,CRL009,BKG01158
CNF0042,2024-11-30 20:18:49,445183,Rejected,CRL008,BKG00964
CNF0043,2024-05-24 20:16:01,327060,Pending,CRL010,BKG00579
CNF0044,2024-06-30 13:12:55,463249,Rejected,CRL002,BKG00645
CNF0045,2024-10-17 07:55:07,290691,Pending,CRL002,BKG00539
CNF0046,2024-07-01 11:41:28,7736,Pending,CRL016,BKG01085
CNF0047,2024-08-12 01:33:45,12373,Pending,CRL015,BKG00872
