DiscountID,DiscountName,StartDate,EndDate,Pecentage,TargetUser,MID
DSC001,Khuyến mãi 1,2023-12-13,2024-01-05,20,Thành viên,EMP0099
DSC002,Khuyến mãi 2,2023-12-20,2024-01-03,5,Thành viên,EMP0095
DSC003,Khuyến mãi 3,2023-03-25,2023-04-20,5,Tất cả,EMP0020
DSC004,Khuyến mãi 4,2023-09-08,2023-09-27,5,Khách mới,EMP0048
DSC005,Khuyến mãi 5,2024-06-09,2024-07-26,20,Tất cả,EMP0120
DSC006,Khuyến mãi 6,2023-08-14,2023-09-11,20,Tất cả,EMP0064
DSC007,Khuyến mãi 7,2024-05-19,2024-05-31,20,Tất cả,EMP0025
DSC008,Khuyến mãi 8,2023-02-03,2023-03-04,20,Đặt online,EMP0117
DSC009,Khuyến mãi 9,2023-02-28,2023-04-12,15,Tất cả,EMP0017
DSC010,Khuyến mãi 10,2023-09-17,2023-11-07,20,Tất cả,EMP0043
DSC011,Khuyến mãi 11,2023-04-06,2023-05-08,15,Thành viên,EMP0098
DSC012,Khuyến mãi 12,2023-11-25,2023-12-15,10,Đặt online,EMP0050
DSC013,Khuyến mãi 13,2023-09-23,2023-10-07,20,Đặt online,EMP0059
DSC014,Khuyến mãi 14,2024-04-20,2024-06-08,20,Tất cả,EMP0002
DSC015,Khuyến mãi 15,2024-02-02,2024-02-26,10,Khách mới,EMP0042
DSC016,Khuyến mãi 16,2024-04-10,2024-05-30,10,Tất cả,EMP0082
DSC017,Khuyến mãi 17,2024-04-28,2024-06-22,10,Tất cả,EMP0030
DSC018,Khuyến mãi 18,2023-08-20,2023-09-07,15,Đặt online,EMP0096
DSC019,Khuyến mãi 19,2024-04-07,2024-05-05,20,Khách mới,EMP0112
DSC020,Khuyến mãi 20,2023-12-15,2023-12-29,5,Khách mới,EMP0070
DSC021,Khuyến mãi 21,2023-10-15,2023-11-25,5,Khách mới,EMP0090
DSC022,Khuyến mãi 22,2024-03-25,2024-05-17,10,Tất cả,EMP0070
DSC023,Khuyến mãi 23,2023-04-05,2023-05-04,20,Tất cả,EMP0110
DSC024,Khuyến mãi 24,2023-12-16,2024-01-10,10,Đặt online,EMP0007
DSC025,Khuyến mãi 25,2024-04-10,2024-05-25,15,Khách mới,EMP0103
DSC026,Khuyến mãi 26,2024-05-03,2024-06-05,5,Tất cả,EMP0014
DSC027,Khuyến mãi 27,2023-02-22,2023-03-31,20,Đặt online,EMP0040
DSC028,Khuyến mãi 28,2024-04-05,2024-05-05,15,Khách mới,EMP0054
DSC029,Khuyến mãi 29,2023-12-16,2024-01-21,10,Đặt online,EMP0020
DSC030,Khuyến mãi 30,2023-06-20,2023-07-21,10,Khách mới,EMP0065
DSC031,Khuyến mãi 31,2023-12-12,2024-01-05,5,Thành viên,EMP0075
DSC032,Khuyến mãi 32,2023-01-11,2023-02-25,15,Đặt online,EMP0068
DSC033,Khuyến mãi 33,2023-12-24,2024-02-16,20,Tất cả,EMP0108
DSC034,Khuyến mãi 34,2024-03-20,2024-04-20,10,Đặt online,EMP0009
DSC035,Khuyến mãi 35,2023-08-12,2023-09-21,10,Đặt online,EMP0101
DSC036,Khuyến mãi 36,2024-05-02,2024-05-11,20,Đặt online,EMP0114
DSC037,Khuyến mãi 37,2024-04-12,2024-05-17,15,Đặt online,EMP0006
DSC038,Khuyến mãi 38,2023-07-30,2023-09-11,20,Thành viên,EMP0049
DSC039,Khuyến mãi 39,2023-08-17,2023-09-24,20,Thành viên,EMP0113
DSC040,Khuyến mãi 40,2024-03-30,2024-04-10,5,Tất cả,EMP0057
DSC041,Khuyến mãi 41,2023-09-02,2023-10-01,5,Thành viên,EMP0071
DSC042,Khuyến mãi 42,2024-03-05,2024-03-23,10,Tất cả,EMP0053
DSC043,Khuyến mãi 43,2023-06-21,2023-07-16,10,Thành viên,EMP0030
DSC044,Khuyến mãi 44,2023-07-17,2023-09-05,10,Tất cả,EMP0101
DSC045,Khuyến mãi 45,2023-05-27,2023-06-16,10,Khách mới,EMP0036
DSC046,Khuyến mãi 46,2024-01-24,2024-02-01,20,Tất cả,EMP0107
DSC047,Khuyến mãi 47,2024-01-22,2024-03-05,15,Thành viên,EMP0088
DSC048,Khuyến mãi 48,2023-01-03,2023-02-04,15,Thành viên,EMP0025
DSC049,Khuyến mãi 49,2023-12-16,2024-01-20,20,Khách mới,EMP0100
DSC050,Khuyến mãi 50,2023-05-24,2023-07-08,15,Tất cả,EMP0018
