ScheduleID,StartTime,EndTime
SCH0001,2024-04-06 08:58:45,2024-04-06 14:58:45
SCH0002,2024-05-14 16:26:33,2024-05-14 20:26:33
SCH0003,2024-04-17 07:14:30,2024-04-17 11:14:30
SCH0004,2024-12-30 07:17:52,2024-12-30 15:17:52
SCH0005,2024-10-24 12:52:59,2024-10-24 16:52:59
SCH0006,2024-01-13 18:17:13,2024-01-14 02:17:13
SCH0007,2024-06-12 01:36:20,2024-06-12 09:36:20
SCH0008,2024-10-24 18:08:08,2024-10-24 22:08:08
SCH0009,2024-04-03 17:10:20,2024-04-03 21:10:20
SCH0010,2024-01-27 09:11:48,2024-01-27 13:11:48
SCH0011,2024-08-18 21:57:38,2024-08-19 01:57:38
SCH0012,2024-06-22 15:07:56,2024-06-22 23:07:56
SCH0013,2024-09-18 05:42:51,2024-09-18 13:42:51
SCH0014,2024-12-04 23:36:32,2024-12-05 03:36:32
SCH0015,2024-04-05 07:05:15,2024-04-05 15:05:15
SCH0016,2024-01-18 10:18:58,2024-01-18 16:18:58
SCH0017,2024-06-19 17:25:47,2024-06-19 21:25:47
SCH0018,2024-07-28 20:55:33,2024-07-29 00:55:33
SCH0019,2024-10-20 05:23:03,2024-10-20 09:23:03
SCH0020,2024-02-24 16:09:29,2024-02-25 00:09:29
SCH0021,2024-04-22 14:07:50,2024-04-22 18:07:50
SCH0022,2024-11-13 01:40:44,2024-11-13 09:40:44
SCH0023,2024-08-11 23:44:15,2024-08-12 05:44:15
SCH0024,2024-08-12 12:27:19,2024-08-12 20:27:19
SCH0025,2024-10-27 06:34:40,2024-10-27 14:34:40
SCH0026,2024-11-14 01:52:39,2024-11-14 07:52:39
SCH0027,2024-04-02 06:06:20,2024-04-02 12:06:20
SCH0028,2024-12-06 13:19:10,2024-12-06 17:19:10
SCH0029,2024-09-13 15:37:32,2024-09-13 23:37:32
SCH0030,2024-03-27 02:16:03,2024-03-27 08:16:03
SCH0031,2024-04-26 22:52:18,2024-04-27 04:52:18
SCH0032,2024-01-24 22:09:58,2024-01-25 06:09:58
SCH0033,2024-08-18 00:44:14,2024-08-18 08:44:14
SCH0034,2024-12-20 06:31:10,2024-12-20 10:31:10
SCH0035,2024-08-31 08:40:44,2024-08-31 16:40:44
SCH0036,2024-06-15 03:47:52,2024-06-15 11:47:52
SCH0037,2024-07-11 17:31:14,2024-07-11 21:31:14
SCH0038,2024-05-14 00:10:43,2024-05-14 08:10:43
SCH0039,2024-09-17 23:21:57,2024-09-18 05:21:57
SCH0040,2024-11-01 10:13:46,2024-11-01 18:13:46
SCH0041,2024-05-04 00:49:13,2024-05-04 08:49:13
SCH0042,2024-06-10 22:25:36,2024-06-11 04:25:36
SCH0043,2024-02-28 04:48:32,2024-02-28 10:48:32
SCH0044,2024-05-26 10:51:47,2024-05-26 14:51:47
SCH0045,2024-10-20 05:40:03,2024-10-20 13:40:03
SCH0046,2024-07-03 03:30:55,2024-07-03 07:30:55
SCH0047,2024-11-26 02:25:52,2024-11-26 06:25:52
SCH0048,2024-04-27 01:03:59,2024-04-27 09:03:59
SCH0049,2024-02-26 07:27:20,2024-02-26 13:27:20
SCH0050,2024-12-21 12:00:20,2024-12-21 16:00:20
SCH0051,2024-08-06 15:49:01,2024-08-06 21:49:01
SCH0052,2024-06-11 00:08:04,2024-06-11 08:08:04
SCH0053,2024-07-25 01:52:54,2024-07-25 05:52:54
SCH0054,2024-05-31 02:19:40,2024-05-31 06:19:40
SCH0055,2024-04-09 06:43:54,2024-04-09 10:43:54
SCH0056,2024-05-08 12:16:27,2024-05-08 20:16:27
SCH0057,2024-01-31 22:59:23,2024-02-01 04:59:23
SCH0058,2024-11-25 05:51:19,2024-11-25 11:51:19
SCH0059,2024-02-06 03:49:36,2024-02-06 11:49:36
SCH0060,2024-10-08 15:37:08,2024-10-08 19:37:08
SCH0061,2024-01-21 06:21:22,2024-01-21 12:21:22
SCH0062,2024-05-26 17:27:37,2024-05-27 01:27:37
SCH0063,2024-08-23 04:43:26,2024-08-23 12:43:26
SCH0064,2024-01-16 14:36:35,2024-01-16 18:36:35
SCH0065,2024-03-14 07:48:32,2024-03-14 15:48:32
SCH0066,2024-10-08 13:00:50,2024-10-08 21:00:50
SCH0067,2024-08-05 06:51:50,2024-08-05 10:51:50
SCH0068,2024-07-05 10:16:40,2024-07-05 14:16:40
SCH0069,2024-12-03 22:05:01,2024-12-04 04:05:01
SCH0070,2024-04-27 23:55:01,2024-04-28 03:55:01
SCH0071,2024-03-23 12:11:29,2024-03-23 16:11:29
SCH0072,2024-10-15 05:02:59,2024-10-15 09:02:59
SCH0073,2024-10-17 07:25:08,2024-10-17 13:25:08
SCH0074,2024-12-21 09:12:38,2024-12-21 13:12:38
SCH0075,2024-09-27 09:42:24,2024-09-27 17:42:24
SCH0076,2024-09-30 13:35:55,2024-09-30 17:35:55
SCH0077,2024-06-03 06:52:43,2024-06-03 10:52:43
SCH0078,2024-08-02 15:45:07,2024-08-02 21:45:07
SCH0079,2024-10-28 10:18:47,2024-10-28 16:18:47
SCH0080,2024-05-28 02:01:28,2024-05-28 08:01:28
SCH0081,2024-07-26 11:58:46,2024-07-26 19:58:46
SCH0082,2024-05-19 18:32:30,2024-05-20 00:32:30
SCH0083,2024-04-11 19:55:51,2024-04-12 01:55:51
SCH0084,2024-07-18 09:47:47,2024-07-18 15:47:47
SCH0085,2024-06-30 05:28:21,2024-06-30 09:28:21
SCH0086,2024-11-08 00:47:35,2024-11-08 08:47:35
SCH0087,2024-07-01 13:58:04,2024-07-01 19:58:04
SCH0088,2024-12-21 08:10:40,2024-12-21 12:10:40
SCH0089,2024-05-24 05:13:13,2024-05-24 11:13:13
SCH0090,2024-06-10 00:06:31,2024-06-10 04:06:31
SCH0091,2024-08-06 17:06:37,2024-08-06 21:06:37
SCH0092,2024-10-15 02:58:22,2024-10-15 06:58:22
SCH0093,2024-01-07 13:10:49,2024-01-07 19:10:49
SCH0094,2024-08-03 03:14:15,2024-08-03 11:14:15
SCH0095,2024-08-13 04:00:11,2024-08-13 12:00:11
SCH0096,2024-06-11 10:06:35,2024-06-11 16:06:35
SCH0097,2024-02-29 10:34:38,2024-02-29 14:34:38
SCH0098,2024-05-08 08:34:02,2024-05-08 12:34:02
SCH0099,2024-05-27 18:21:47,2024-05-28 02:21:47
SCH0100,2024-11-19 21:30:12,2024-11-20 01:30:12
SCH0101,2024-07-13 03:49:37,2024-07-13 11:49:37
SCH0102,2024-09-11 11:23:18,2024-09-11 19:23:18
SCH0103,2024-05-11 08:19:37,2024-05-11 14:19:37
SCH0104,2024-10-23 17:02:12,2024-10-23 23:02:12
SCH0105,2024-10-08 06:02:55,2024-10-08 14:02:55
SCH0106,2024-10-14 11:30:59,2024-10-14 17:30:59
SCH0107,2024-06-28 05:14:15,2024-06-28 09:14:15
SCH0108,2024-10-11 19:55:56,2024-10-12 01:55:56
SCH0109,2024-03-06 23:40:14,2024-03-07 03:40:14
SCH0110,2024-10-06 23:48:31,2024-10-07 07:48:31
SCH0111,2024-07-08 21:26:16,2024-07-09 01:26:16
SCH0112,2024-12-22 08:07:18,2024-12-22 16:07:18
SCH0113,2024-09-06 12:05:51,2024-09-06 16:05:51
SCH0114,2024-07-22 17:30:57,2024-07-22 21:30:57
SCH0115,2024-11-22 02:41:06,2024-11-22 06:41:06
SCH0116,2024-11-13 22:16:28,2024-11-14 06:16:28
SCH0117,2024-01-20 02:11:12,2024-01-20 06:11:12
SCH0118,2024-06-09 09:46:26,2024-06-09 13:46:26
SCH0119,2024-11-23 11:05:09,2024-11-23 19:05:09
SCH0120,2024-03-31 03:06:56,2024-03-31 07:06:56
SCH0121,2024-10-01 21:17:53,2024-10-02 01:17:53
SCH0122,2024-01-04 19:12:16,2024-01-04 23:12:16
SCH0123,2024-07-15 15:46:20,2024-07-15 21:46:20
SCH0124,2024-05-25 04:28:57,2024-05-25 08:28:57
SCH0125,2024-08-28 04:38:30,2024-08-28 12:38:30
SCH0126,2024-09-16 04:36:16,2024-09-16 12:36:16
SCH0127,2024-12-20 17:27:36,2024-12-20 23:27:36
SCH0128,2024-09-13 06:58:31,2024-09-13 12:58:31
SCH0129,2024-01-07 08:37:50,2024-01-07 12:37:50
SCH0130,2024-07-25 22:34:47,2024-07-26 06:34:47
SCH0131,2024-06-08 23:57:10,2024-06-09 03:57:10
SCH0132,2024-01-07 17:53:56,2024-01-08 01:53:56
SCH0133,2024-10-07 17:19:26,2024-10-07 23:19:26
SCH0134,2024-07-27 07:26:27,2024-07-27 13:26:27
SCH0135,2024-01-07 21:46:50,2024-01-08 05:46:50
SCH0136,2024-11-12 01:10:28,2024-11-12 09:10:28
SCH0137,2024-09-19 00:26:32,2024-09-19 06:26:32
SCH0138,2024-11-09 08:01:39,2024-11-09 12:01:39
SCH0139,2024-02-11 19:27:55,2024-02-11 23:27:55
SCH0140,2024-07-22 21:37:34,2024-07-23 01:37:34
SCH0141,2024-04-03 19:59:32,2024-04-03 23:59:32
SCH0142,2024-08-28 22:46:34,2024-08-29 06:46:34
SCH0143,2024-04-08 06:42:29,2024-04-08 12:42:29
SCH0144,2024-04-14 01:38:49,2024-04-14 07:38:49
SCH0145,2024-01-31 22:30:45,2024-02-01 04:30:45
SCH0146,2024-06-06 22:26:59,2024-06-07 04:26:59
SCH0147,2024-08-07 16:12:07,2024-08-07 20:12:07
SCH0148,2024-09-28 00:42:48,2024-09-28 04:42:48
SCH0149,2024-04-26 17:57:58,2024-04-27 01:57:58
SCH0150,2024-11-17 20:05:52,2024-11-18 00:05:52
SCH0151,2024-09-11 03:15:30,2024-09-11 11:15:30
