InvoiceID,RentTime,TotalPrice,PaymentMethod,CreateTime,Status,BookingID,DiscountID,CourtID,CID
INV00001,2024-12-12 00:57:46,2129066,Chuyển khoản,2024-12-12 00:57:46,Chưa thanh toán,BKG00149,DSC012,CRT0010,EMP0110
INV00002,2024-01-11 10:23:23,2417632,Thẻ,2024-01-11 10:23:23,Hủy,BKG00700,DSC050,CRT0030,EMP0085
INV00003,2024-02-14 17:10:20,1641030,Chuyển khoản,2024-02-14 17:10:20,Đã thanh toán,BKG00291,DSC015,CRT0046,EMP0040
INV00004,2024-10-28 05:03:06,1728899,Tiền mặt,2024-10-28 05:03:06,Đã thanh toán,BKG00041,DSC025,CRT0001,EMP0075
INV00005,2024-12-22 01:52:45,2159845,Tiền mặt,2024-12-22 01:52:45,Hủy,BKG00436,DSC035,CRT0027,EMP0084
INV00006,2024-03-20 19:45:56,229294,Chuyển khoản,2024-03-20 19:45:56,Hủy,BKG00551,DSC013,CRT0005,EMP0106
INV00007,2024-06-06 13:02:48,1519259,Thẻ,2024-06-06 13:02:48,Đã thanh toán,BKG00388,DSC042,CRT0009,EMP0076
INV00008,2024-10-11 09:18:35,2348589,Ví điện tử,2024-10-11 09:18:35,Chưa thanh toán,BKG00909,DSC018,CRT0056,EMP0093
INV00009,2024-10-12 23:26:17,2190168,Ví điện tử,2024-10-12 23:26:17,Đã thanh toán,BKG00873,DSC003,CRT0003,EMP0004
INV00010,2024-12-30 12:46:17,1682625,Chuyển khoản,2024-12-30 12:46:17,Đã thanh toán,BKG00570,DSC007,CRT0051,EMP0031
INV00011,2024-01-13 04:32:46,313413,Tiền mặt,2024-01-13 04:32:46,Hủy,BKG00569,,CRT0047,EMP0076
INV00012,2024-12-02 23:24:22,2870237,Chuyển khoản,2024-12-02 23:24:22,Đã thanh toán,BKG00633,DSC032,CRT0058,EMP0037
INV00013,2024-08-05 09:53:40,1935775,Ví điện tử,2024-08-05 09:53:40,Đã thanh toán,BKG00782,DSC006,CRT0016,EMP0065
INV00014,2024-03-13 09:55:10,432758,Thẻ,2024-03-13 09:55:10,Chưa thanh toán,BKG00979,DSC023,CRT0046,EMP0063
INV00015,2024-10-14 00:28:35,1463293,Ví điện tử,2024-10-14 00:28:35,Đã thanh toán,BKG00768,DSC017,CRT0054,EMP0065
INV00016,2024-02-17 08:33:17,2295814,Ví điện tử,2024-02-17 08:33:17,Đã thanh toán,BKG00595,DSC010,CRT0049,EMP0070
INV00017,2024-01-27 01:07:28,1249464,Chuyển khoản,2024-01-27 01:07:28,Hủy,BKG01002,DSC011,CRT0033,EMP0047
INV00018,2024-01-25 16:02:52,1151480,Chuyển khoản,2024-01-25 16:02:52,Đã thanh toán,BKG01031,DSC007,CRT0033,EMP0061
INV00019,2024-03-21 11:36:57,1183132,Chuyển khoản,2024-03-21 11:36:57,Chưa thanh toán,BKG01172,DSC044,CRT0012,EMP0011
INV00020,2024-03-20 14:18:46,1017725,Chuyển khoản,2024-03-20 14:18:46,Chưa thanh toán,BKG01199,DSC037,CRT0054,EMP0103
INV00021,2024-05-01 23:05:43,2462177,Tiền mặt,2024-05-01 23:05:43,Chưa thanh toán,BKG00049,,CRT0001,EMP0060
INV00022,2024-11-30 10:38:45,681381,Thẻ,2024-11-30 10:38:45,Hủy,BKG00014,DSC043,CRT0019,EMP0092
INV00023,2024-04-10 10:01:25,1572647,Ví điện tử,2024-04-10 10:01:25,Chưa thanh toán,BKG00929,DSC027,CRT0060,EMP0102
INV00024,2024-05-21 02:56:01,2896568,Ví điện tử,2024-05-21 02:56:01,Đã thanh toán,BKG00227,DSC018,CRT0047,EMP0060
INV00025,2024-01-03 17:51:46,1344453,Chuyển khoản,2024-01-03 17:51:46,Hủy,BKG00856,DSC021,CRT0036,EMP0076
