CardID,MembershipLevel,CustomerID
MBC00001,Silver,CUS00201
MBC00002,Silver,CUS00265
MBC00003,Diamond,CUS00194
MBC00004,Platinum,CUS00131
MBC00005,Gold,CUS00320
MBC00006,Gold,CUS00106
MBC00007,Platinum,CUS00589
MBC00008,Diamond,CUS00763
MBC00009,Gold,CUS00782
MBC00010,Silver,CUS00602
MBC00011,Silver,CUS00178
MBC00012,Silver,CUS00528
MBC00013,Platinum,CUS00159
MBC00014,Diamond,CUS00198
MBC00015,Platinum,CUS00093
MBC00016,Silver,CUS00303
MBC00017,Diamond,CUS00091
MBC00018,Gold,CUS00256
MBC00019,Silver,CUS00341
MBC00020,Platinum,CUS00372
MBC00021,Gold,CUS00056
MBC00022,Silver,CUS00329
MBC00023,Gold,CUS00040
MBC00024,Gold,CUS00061
MBC00025,Platinum,CUS00304
MBC00026,Silver,CUS00461
MBC00027,Diamond,CUS00546
MBC00028,Silver,CUS00688
MBC00029,Silver,CUS00049
MBC00030,Diamond,CUS00370
MBC00031,Platinum,CUS00680
MBC00032,Platinum,CUS00328
MBC00033,Diamond,CUS00417
MBC00034,Diamond,CUS00244
MBC00035,Platinum,CUS00334
MBC00036,Platinum,CUS00123
MBC00037,Gold,CUS00612
MBC00038,Silver,CUS00145
MBC00039,Diamond,CUS00629
MBC00040,Platinum,CUS00350
MBC00041,Gold,CUS00057
MBC00042,Diamond,CUS00315
MBC00043,Silver,CUS00633
MBC00044,Silver,CUS00024
MBC00045,Diamond,CUS00108
MBC00046,Diamond,CUS00657
MBC00047,Diamond,CUS00707
MBC00048,Silver,CUS00018
MBC00049,Silver,CUS00772
MBC00050,Gold,CUS00164
MBC00051,Platinum,CUS00138
MBC00052,Silver,CUS00415
MBC00053,Gold,CUS00428
MBC00054,Gold,CUS00156
MBC00055,Silver,CUS00649
MBC00056,Diamond,CUS00365
MBC00057,Diamond,CUS00175
MBC00058,Diamond,CUS00634
MBC00059,Diamond,CUS00150
MBC00060,Silver,CUS00542
MBC00061,Gold,CUS00647
MBC00062,Platinum,CUS00509
MBC00063,Silver,CUS00764
MBC00064,Silver,CUS00012
MBC00065,Platinum,CUS00583
MBC00066,Gold,CUS00143
MBC00067,Platinum,CUS00505
MBC00068,Gold,CUS00779
MBC00069,Gold,CUS00565
MBC00070,Diamond,CUS00051
MBC00071,Gold,CUS00162
MBC00072,Gold,CUS00032
MBC00073,Silver,CUS00661
