AttendanceID,EmployeeID,ScheduleID,CheckIn,CheckOut,Status
ATT00001,EMP0143,SCH0100,2024-07-30 06:16:00,2024-07-30 12:04:00,Trễ
ATT00002,EMP0104,SCH0072,2024-02-21 12:02:00,2024-02-21 18:35:00,Đúng giờ
ATT00003,EMP0127,SCH0063,2024-11-07 12:24:00,2024-11-07 18:22:00,Đúng giờ
ATT00004,EMP0001,SCH0151,2024-11-12 14:34:00,2024-11-12 22:19:00,Đúng giờ
ATT00005,EMP0075,SCH0400,2024-04-16 08:34:00,2024-04-16 16:57:00,Đúng giờ
ATT00006,EMP0053,SCH0325,2024-03-26 11:59:00,2024-03-26 18:12:00,Đúng giờ
ATT00007,EMP0089,SCH0092,2024-11-25 12:32:00,2024-11-25 18:23:00,Đúng giờ
ATT00008,EMP0076,SCH0064,2024-07-02 08:21:00,2024-07-02 17:15:00,Đúng giờ
ATT00009,EMP0144,SCH0368,2024-03-22 07:59:00,2024-03-22 16:46:00,Đúng giờ
ATT00010,EMP0061,SCH0443,2024-11-29 14:02:00,2024-11-29 22:25:00,Đúng giờ
ATT00011,EMP0082,SCH0392,2024-11-09 18:33:00,2024-11-09 23:49:00,Đúng giờ
ATT00012,EMP0055,SCH0178,2024-06-05 12:26:00,2024-06-05 18:20:00,Đúng giờ
ATT00013,EMP0099,SCH0369,2024-05-09 06:44:00,2024-05-09 14:03:00,Trễ
ATT00014,EMP0033,SCH0138,2024-04-09 18:20:00,2024-04-09 22:54:00,Đúng giờ
ATT00015,EMP0125,SCH0448,2024-10-31 08:00:00,2024-10-31 08:00:00,Vắng
ATT00016,EMP0035,SCH0087,2024-01-07 08:03:00,2024-01-07 17:44:00,Đúng giờ
ATT00017,EMP0109,SCH0185,2024-07-01 12:03:00,2024-07-01 18:20:00,Đúng giờ
ATT00018,EMP0116,SCH0394,2024-09-24 07:55:00,2024-09-24 17:12:00,Đúng giờ
ATT00019,EMP0002,SCH0592,2024-07-26 07:57:00,2024-07-26 18:00:00,Đúng giờ
ATT00020,EMP0129,SCH0276,2024-07-12 14:31:00,2024-07-12 21:47:00,Đúng giờ
ATT00021,EMP0010,SCH0582,2024-06-08 18:01:00,2024-06-08 22:52:00,Đúng giờ
ATT00022,EMP0149,SCH0494,2024-07-30 12:00:00,2024-07-30 12:00:00,Vắng
ATT00023,EMP0021,SCH0146,2024-12-28 17:58:00,2024-12-28 23:14:00,Đúng giờ
ATT00024,EMP0133,SCH0081,2024-12-22 07:52:00,2024-12-22 17:00:00,Đúng giờ
ATT00025,EMP0121,SCH0080,2024-11-28 11:59:00,2024-11-28 18:24:00,Đúng giờ
ATT00026,EMP0014,SCH0352,2024-05-28 06:20:00,2024-05-28 12:45:00,Đúng giờ
ATT00027,EMP0117,SCH0525,2024-11-30 18:41:00,2024-11-30 23:06:00,Trễ
ATT00028,EMP0108,SCH0362,2024-07-19 06:30:00,2024-07-19 06:30:00,Vắng
ATT00029,EMP0076,SCH0297,2024-12-18 05:59:00,2024-12-18 12:21:00,Đúng giờ
ATT00030,EMP0067,SCH0063,2024-11-07 12:25:00,2024-11-07 18:21:00,Đúng giờ
ATT00031,EMP0014,SCH0299,2024-07-04 15:14:00,2024-07-04 21:46:00,Trễ
