BookingID,CourtID,OrderDate,OrderTime,StartTime,EndTime,Status,CustomerID,SportCenterID,RID
BKG00001,CRT0040,2024-10-17,10:29:09,2024-10-18 18:00:00,2024-10-18 19:00:00,Confirmed,CUS00478,CEN004,EMP0135
BKG00002,CRT0087,2024-10-21,01:52:03,2024-10-22 17:00:00,2024-10-22 20:00:00,Confirmed,CUS00375,CEN008,EMP0059
BKG00003,CRT0071,2024-03-13,12:03:26,2024-03-15 17:00:00,2024-03-15 20:00:00,Confirmed,CUS00485,CEN007,EMP0112
BKG00004,CRT0049,2024-10-02,04:32:58,2024-10-02 20:00:00,2024-10-02 21:00:00,Pending,CUS00848,CEN005,EMP0129
BKG00005,CRT0058,2024-10-07,18:27:56,2024-10-10 20:00:00,2024-10-10 21:00:00,Confirmed,CUS00863,CEN006,EMP0056
BKG00006,CRT0092,2024-08-03,17:07:32,2024-08-05 19:00:00,2024-08-05 21:00:00,Pending,CUS00406,CEN009,EMP0033
BKG00007,CRT0013,2024-07-05,17:03:05,2024-07-10 07:00:00,2024-07-10 08:00:00,Cancelled,CUS00226,CEN002,EMP0001
BKG00008,CRT0082,2024-01-06,21:54:34,2024-01-11 19:00:00,2024-01-11 20:00:00,Confirmed,CUS00889,CEN008,EMP0098
BKG00009,CRT0040,2024-10-01,21:25:42,2024-10-03 18:00:00,2024-10-03 19:00:00,Confirmed,CUS00628,CEN004,EMP0123
BKG00010,CRT0013,2024-09-22,10:54:58,2024-09-27 18:00:00,2024-09-27 21:00:00,Pending,CUS00956,CEN002,EMP0116
BKG00011,CRT0022,2024-06-16,19:47:59,2024-06-21 17:00:00,2024-06-21 18:00:00,Confirmed,CUS00211,CEN002,EMP0078
BKG00012,CRT0029,2024-04-27,02:26:38,2024-04-30 19:00:00,2024-04-30 21:00:00,Pending,CUS00642,CEN003,EMP0018
BKG00013,CRT0094,2024-07-22,07:18:27,2024-07-24 15:00:00,2024-07-24 17:00:00,Confirmed,CUS00728,CEN009,EMP0034
