LeaveFormID,EmployeeID,ScheduleID,DateCreate,Reason,Status
LFM0001,EMP0082,SCH0132,2024-08-11 04:25:35,Hẹn gặp luật sư,Approved
LFM0002,EMP0003,SCH0498,2024-09-10 22:01:05,Thi cử/Học tập,Rejected
LFM0003,EMP0109,SCH0056,2024-04-27 15:44:26,Việc gia đình khẩn cấp,Approved
LFM0004,EMP0116,SCH0515,2024-05-24 18:59:01,Làm giấy tờ cá nhân,Pending
LFM0005,EMP0137,SCH0374,2024-02-13 08:51:35,Tai nạn giao thông nhẹ,Pending
LFM0006,EMP0137,SCH0393,2024-12-03 23:55:01,Chăm con ốm,Pending
LFM0007,EMP0002,SCH0346,2024-12-28 19:09:41,Nghỉ thai sản,Pending
LFM0008,EMP0051,SCH0528,2024-11-11 16:10:20,Hẹn gặp luật sư,Pending
LFM0009,EMP0112,SCH0050,2024-06-29 11:54:24,Việc gia đình khẩn cấp,Approved
LFM0010,EMP0126,SCH0472,2024-05-22 13:39:30,Chuyển nhà,Approved
LFM0011,EMP0065,SCH0436,2024-05-11 01:22:17,Nghỉ bệnh - Cảm cúm,Pending
LFM0012,EMP0139,SCH0274,2024-03-10 09:52:02,Tai nạn giao thông nhẹ,Approved
LFM0013,EMP0005,SCH0458,2024-05-06 01:47:40,Nghỉ bệnh - Đau dạ dày,Approved
LFM0014,EMP0029,SCH0366,2024-10-11 05:50:33,Thi cử/Học tập,Approved
LFM0015,EMP0064,SCH0180,2024-02-02 15:22:24,Chăm con ốm,Approved
LFM0016,EMP0038,SCH0506,2024-06-16 10:08:53,Chuyển nhà,Rejected
LFM0017,EMP0118,SCH0250,2024-12-22 19:36:17,Hẹn gặp luật sư,Pending
LFM0018,EMP0011,SCH0079,2024-05-06 20:01:30,Chăm con ốm,Approved
LFM0019,EMP0026,SCH0392,2024-07-18 02:04:44,Nghỉ bệnh - Sốt cao,Rejected
LFM0020,EMP0087,SCH0310,2024-06-13 02:15:51,Đám cưới người thân,Approved
LFM0021,EMP0066,SCH0082,2024-11-21 00:02:17,Việc gia đình khẩn cấp,Rejected
LFM0022,EMP0050,SCH0585,2024-04-11 08:28:12,Nghỉ phép năm,Rejected
LFM0023,EMP0013,SCH0384,2024-08-10 15:52:44,Tai nạn giao thông nhẹ,Approved
LFM0024,EMP0071,SCH0191,2024-04-17 12:27:52,Nghỉ bệnh - Đau dạ dày,Approved
LFM0025,EMP0103,SCH0186,2024-09-20 09:21:32,Nghỉ bệnh - Cảm cúm,Approved
LFM0026,EMP0105,SCH0213,2024-01-08 06:28:23,Chăm con ốm,Pending
LFM0027,EMP0071,SCH0274,2024-06-28 14:15:52,Làm giấy tờ cá nhân,Approved
LFM0028,EMP0025,SCH0227,2024-03-28 07:31:07,Làm giấy tờ cá nhân,Approved
LFM0029,EMP0057,SCH0066,2024-08-25 10:31:59,Hẹn gặp luật sư,Approved
LFM0030,EMP0108,SCH0337,2024-07-29 06:45:13,Nghỉ bệnh - Cảm cúm,Approved
LFM0031,EMP0088,SCH0349,2024-05-04 03:17:12,Hẹn gặp luật sư,Approved
LFM0032,EMP0039,SCH0474,2024-11-27 19:10:29,Đám tang,Pending
LFM0033,EMP0137,SCH0175,2024-09-18 08:41:01,Thi cử/Học tập,Approved
LFM0034,EMP0009,SCH0586,2024-01-31 12:41:04,Chuyển nhà,Pending
LFM0035,EMP0022,SCH0213,2024-10-17 11:58:00,Chuyển nhà,Rejected
LFM0036,EMP0078,SCH0299,2024-10-18 14:29:57,Hẹn gặp luật sư,Approved
LFM0037,EMP0008,SCH0160,2024-08-30 16:08:32,Chuyển nhà,Approved
LFM0038,EMP0145,SCH0442,2024-06-10 07:44:35,Nghỉ bệnh - Cảm cúm,Rejected
LFM0039,EMP0073,SCH0570,2024-10-15 23:04:02,Nghỉ phép năm,Approved
LFM0040,EMP0097,SCH0551,2024-02-21 03:30:31,Việc gia đình khẩn cấp,Approved
LFM0041,EMP0025,SCH0406,2024-03-25 18:45:13,Việc gia đình khẩn cấp,Approved
LFM0042,EMP0147,SCH0297,2024-03-10 08:52:54,Thi cử/Học tập,Rejected
LFM0043,EMP0141,SCH0419,2024-05-16 17:06:26,Tai nạn giao thông nhẹ,Pending
LFM0044,EMP0072,SCH0328,2024-10-26 05:34:38,Việc gia đình khẩn cấp,Approved
LFM0045,EMP0082,SCH0515,2024-07-27 00:24:21,Nghỉ phép năm,Approved
LFM0046,EMP0104,SCH0507,2024-10-20 22:08:59,Hẹn gặp luật sư,Approved
LFM0047,EMP0041,SCH0182,2024-06-04 08:46:36,Làm giấy tờ cá nhân,Approved
LFM0048,EMP0119,SCH0177,2024-09-22 09:18:00,Thi cử/Học tập,Rejected
LFM0049,EMP0149,SCH0429,2024-06-11 10:33:18,Nghỉ bệnh - Cảm cúm,Approved
LFM0050,EMP0058,SCH0142,2024-08-24 18:52:20,Nghỉ bệnh - Sốt cao,Pending
LFM0051,EMP0147,SCH0419,2024-01-09 20:49:29,Nghỉ phép năm,Approved
LFM0052,EMP0043,SCH0583,2024-08-30 22:02:13,Nghỉ bệnh - Sốt cao,Approved
LFM0053,EMP0095,SCH0024,2024-10-15 12:56:21,Thi cử/Học tập,Pending
LFM0054,EMP0142,SCH0524,2024-12-01 07:49:40,Đám cưới người thân,Approved
LFM0055,EMP0118,SCH0378,2024-10-07 19:24:31,Đám cưới người thân,Rejected
LFM0056,EMP0121,SCH0205,2024-05-05 08:00:27,Nghỉ bệnh - Sốt cao,Approved
LFM0057,EMP0008,SCH0212,2024-08-12 07:38:35,Nghỉ phép năm,Approved
LFM0058,EMP0114,SCH0248,2024-11-05 10:16:53,Hẹn gặp luật sư,Approved
LFM0059,EMP0129,SCH0114,2024-11-08 02:54:19,Làm giấy tờ cá nhân,Pending
LFM0060,EMP0041,SCH0251,2024-06-28 12:07:48,Nghỉ bệnh - Sốt cao,Pending
LFM0061,EMP0002,SCH0034,2024-09-21 20:55:14,Bận việc cá nhân đột xuất,Pending
LFM0062,EMP0099,SCH0073,2024-10-31 02:29:14,Nghỉ thai sản,Approved
LFM0063,EMP0138,SCH0124,2024-10-04 23:41:29,Nghỉ bệnh - Cảm cúm,Pending
LFM0064,EMP0113,SCH0493,2024-11-17 11:13:29,Đi khám bệnh định kỳ,Pending
LFM0065,EMP0102,SCH0041,2024-05-21 02:53:03,Hẹn gặp luật sư,Approved
