CenterID,Address,Hotline,OpenTime,CloseTime,Owner
CEN001,115 - Lê Duẩn - Quận 9 - TP. Hồ Chí Minh,0566001338,05:00:00,23:00:00,Phạm Quang Hải
CEN002,230 - Lê Duẩn - Phường 4 - Vũng Tàu,0774235116,05:00:00,22:00:00,Nguyễn Bích Đào
CEN003,23 - Nguyễn Công Trứ - Thuận An - Bình Dương,0348495931,05:00:00,21:30:00,Trương Ngọc Vân
CEN004,52 - Tôn Đức Thắng - Long Biên - Hà Nội,0375534192,05:30:00,21:30:00,Võ Xuân Trinh
CEN005,328 - Nguyễn Thái Học - Vĩnh Hải - Nha Trang,0960564139,06:00:00,21:30:00,Bùi Văn Quang
CEN006,136 - Lý Thường Kiệt - Vĩnh Phước - Nha Trang,0709696532,06:30:00,21:00:00,Vũ Quang Tùng
CEN007,82 - Nguyễn Thị Minh Khai - Thanh Xuân - Hà Nội,0799784801,06:00:00,22:00:00,Mai Ngọc Vân
CEN008,489 - Nguyễn Huệ - Ngũ Hành Sơn - Đà Nẵng,0354893252,05:00:00,23:00:00,Đinh Bích Loan
CEN009,476 - Nguyễn Trãi - Phú Hội - Huế,0399117182,05:30:00,22:30:00,Đặng Hồng Diệu
CEN010,447 - Điện Biên Phủ - Sơn Trà - Đà Nẵng,0914657871,05:30:00,21:30:00,Phan Hoàng Mai
